file,image_url,image_src,dest,action,note
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/003_console_deep_dive/index.md,003_configurationDeepDive_images/title.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/003_configurationDeepDive_images/title.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/003_console_deep_dive/title.jpg,moved,leaf
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/003_console_deep_dive/index.md,title.jpg,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,002_architecture_images/title.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture_images/title.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/title.jpg,moved,leaf
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,002_architecture_images/architecture1.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture_images/architecture1.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/architecture1.jpg,moved,leaf
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,002_architecture_images/architecture2.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture_images/architecture2.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/architecture2.jpg,moved,leaf
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,002_architecture_images/architecture3.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture_images/architecture3.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/architecture3.jpg,moved,leaf
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,002_architecture_images/architecture4.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture_images/architecture4.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/architecture4.jpg,moved,leaf
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,title.jpg,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,architecture1.jpg,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,architecture2.jpg,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,architecture3.jpg,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/002_architecture/index.md,architecture4.jpg,NOT FOUND,,missing-shortcode,figure-shortcode
/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/004_policy_deep_dive/index.md,004_policyDeepDive_images/title.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/004_policyDeepDive_images/title.jpg,/home/ubuntu/pythonProjects/data-security-101/content/001FortiDLPPresentation/004_policy_deep_dive/title.jpg,moved,leaf
